x,y
23.0,59477.71111111111
24.0,59919.62222222222
25.0,60337.73333333333
26.0,60738.15555555555
27.0,61084.22222222222
28.0,61387.688888888886
29.0,61632.53333333333
30.0,61795.73333333333
31.0,61860.97777777778
32.0,61806.84444444445
33.0,61650.37777777778
34.0,61393.8
35.0,61053.666666666664
36.0,60666.97777777778
37.0,60240.57777777778
38.0,59795.84444444445
39.0,59339.71111111111
40.0,58892.688888888886
41.0,58447.22222222222
42.0,58012.555555555555
43.0,57584.444444444445
44.0,57161.53333333333
45.0,56745.044444444444
46.0,56326.13333333333
47.0,55904.688888888886
48.0,55476.044444444444
49.0,55036.333333333336
50.0,54584.62222222222
51.0,54118.64444444444
52.0,53637.02222222222
53.0,53136.51111111111
54.0,52612.044444444444
55.0,52070.24444444444
56.0,51494.28888888889
57.0,50889.97777777778
58.0,50236.666666666664
59.0,49520.08888888889
60.0,48721.02222222222
61.0,47831.666666666664
62.0,46865.08888888889
63.0,45854.822222222225
64.0,44840.08888888889
65.0,43838.53333333333
66.0,42854.444444444445
67.0,41895.333333333336
68.0,40977.955555555556
69.0,40119.933333333334
70.0,39332.64444444444
71.0,38604.6
72.0,37950.066666666666
73.0,37347.066666666666
74.0,36803.933333333334
75.0,36313.75555555556
76.0,35880.71111111111
77.0,35491.88888888889
78.0,35159.044444444444
79.0,34888.6
80.0,34686.444444444445
